x_values,total_1,total_2
188,1217,1143
189,1223,1141
190,1225,1146
191,1222,1149
192,1226,1145
193,1223,1143
194,1225,1149
195,1225,1150
196,1231,1150
197,1239,1147
198,1241,1149
199,1245,1154
200,1241,1153
201,1242,1156
202,1241,1159
203,1244,1159
204,1252,1164
205,1250,1159
206,1257,1163
207,1261,1166
208,1268,1168
209,1276,1164
210,1284,1161
211,1283,1165
212,1289,1160
213,1293,1160
214,1301,1166
215,1298,1169
216,1297,1166
217,1294,1161
218,1295,1163
219,1297,1159
220,1297,1159
221,1300,1156
222,1295,1157
223,1301,1158
224,1299,1153
225,1296,1157
226,1292,1153
227,1289,1153
228,1285,1154
229,1283,1151
230,1291,1156
231,1296,1162
232,1298,1160
233,1298,1164
234,1298,1162
235,1297,1167
236,1300,1162
237,1305,1166
238,1304,1164
239,1305,1162
240,1302,1167
241,1297,1166
242,1295,1165
243,1298,1170
244,1303,1171
245,1311,1166
246,1314,1162
247,1314,1158
248,1311,1163
249,1310,1164
250,1314,1167
251,1309,1162
252,1307,1157
253,1304,1163
254,1304,1160
255,1298,1161
256,1303,1164
257,1303,1164
258,1304,1161
259,1309,1162
260,1316,1163
261,1319,1158
262,1314,1155
263,1322,1152
264,1321,1150
265,1327,1145
266,1335,1144
267,1331,1140
268,1327,1142
269,1334,1147
270,1341,1150
271,1345,1147
272,1340,1144
273,1334,1139
274,1337,1138
275,1332,1135
276,1337,1141
277,1343,1146
278,1346,1143
279,1345,1138
280,1339,1142
281,1345,1139
282,1341,1143
283,1336,1144
284,1343,1145
285,1338,1145
286,1332,1144
287,1334,1148
288,1328,1154
289,1326,1159
290,1334,1161
291,1339,1160
292,1344,1161
293,1341,1166
294,1337,1162
295,1342,1158
296,1349,1158
297,1350,1154
298,1353,1160
299,1357,1166
300,1360,1161
301,1365,1167
302,1364,1171
303,1364,1168
304,1359,1173
305,1362,1170
306,1368,1175
307,1372,1180
308,1377,1180
309,1383,1186
310,1387,1188
311,1384,1186
312,1385,1183
313,1393,1183
314,1392,1182
315,1393,1185
316,1389,1185
317,1388,1188
318,1382,1188
319,1381,1189
320,1378,1193
321,1383,1198
322,1377,1194
323,1381,1193
324,1375,1198
325,1379,1202
326,1385,1199
327,1392,1195
328,1392,1191
329,1400,1193
330,1408,1190
331,1411,1194
332,1411,1191
333,1415,1189
334,1414,1194
335,1409,1193
336,1410,1188
337,1416,1183
338,1418,1184
339,1420,1186
340,1421,1181
341,1417,1183
342,1421,1182
343,1421,1184
344,1421,1183
345,1415,1180
346,1421,1175
347,1428,1176
348,1429,1173
349,1425,1176
350,1421,1172
351,1418,1175
352,1418,1174
353,1419,1180
354,1425,1175
355,1422,1177
356,1420,1174
357,1416,1179
358,1424,1174
359,1427,1173
360,1425,1174
361,1419,1178
362,1416,1177
363,1423,1172
364,1428,1175
365,1431,1175
366,1425,1177
367,1428,1178
368,1428,1174
369,1432,1179
370,1433,1183
371,1441,1188
372,1435,1189
373,1435,1192
374,1439,1193
375,1441,1198
376,1442,1193
377,1449,1190
378,1457,1187
379,1458,1186
380,1456,1189
381,1459,1187
382,1461,1188
383,1462,1184
384,1468,1180
385,1468,1184
386,1463,1179
387,1466,1177
388,1469,1178
389,1474,1179
390,1468,1178
391,1470,1184
392,1465,1186
393,1469,1183
394,1465,1184
395,1462,1184
396,1470,1179
397,1474,1182
398,1477,1188
399,1473,1191
400,1473,1195
401,1468,1199
402,1464,1203
403,1467,1202
404,1474,1199
405,1478,1196
406,1482,1201
407,1477,1196
408,1482,1202
409,1486,1199
410,1480,1195
411,1488,1190
412,1488,1186
413,1488,1182
414,1485,1184
415,1488,1187
416,1482,1189
417,1489,1190
418,1494,1187
419,1501,1183
420,1495,1179
421,1500,1182
422,1496,1186
423,1495,1191
424,1499,1187
425,1502,1185
426,1509,1181
427,1513,1185
428,1510,1182
429,1509,1186
430,1511,1184
431,1507,1185
432,1514,1185
433,1510,1182
434,1506,1188
435,1508,1194
436,1507,1192
437,1513,1198
438,1510,1203
439,1514,1199
440,1509,1198
441,1505,1194
442,1506,1191
443,1513,1195
444,1517,1196
445,1523,1192
446,1523,1197
447,1529,1196
448,1529,1197
449,1524,1198
450,1528,1204
451,1523,1208
452,1520,1203
453,1528,1208
454,1531,1214
455,1531,1217
456,1531,1220
457,1536,1223
458,1542,1227
459,1542,1233
460,1543,1230
461,1547,1232
462,1551,1231
463,1550,1232
464,1556,1238
465,1557,1241
466,1564,1246
467,1567,1247
468,1564,1248
469,1560,1243
470,1564,1244
471,1565,1249
472,1571,1251
473,1570,1247
474,1574,1252
475,1570,1252
476,1567,1257
477,1572,1260
478,1570,1255
479,1565,1261
480,1559,1262
481,1553,1265
482,1547,1269
483,1542,1269
484,1537,1265
485,1540,1260
486,1546,1266
487,1553,1270
488,1555,1274
489,1550,1270
490,1556,1272
491,1552,1271
492,1554,1277
493,1554,1275
494,1548,1277
495,1546,1282
496,1552,1283
497,1554,1287
498,1549,1287
499,1549,1292
500,1550,1294
501,1557,1294
502,1560,1299
503,1557,1297
504,1565,1296
505,1562,1302
506,1569,1299
507,1568,1299
508,1575,1295
509,1570,1297
510,1568,1299
511,1576,1296
512,1577,1293
513,1575,1290
514,1574,1285
515,1568,1285
516,1572,1287
517,1569,1289
518,1576,1291
519,1578,1296
520,1586,1295
521,1585,1292
522,1583,1295
523,1578,1294
524,1584,1292
525,1591,1287
526,1597,1283
527,1605,1288
528,1611,1285
529,1607,1281
530,1604,1283
531,1609,1283
532,1617,1283
533,1618,1287
534,1625,1286
535,1629,1284
536,1631,1287
537,1626,1290
538,1623,1292
539,1629,1295
540,1635,1299
541,1629,1304
542,1624,1310
543,1624,1308
544,1618,1312
545,1625,1315
546,1621,1319
547,1617,1325
548,1614,1328
549,1619,1324
550,1622,1322
551,1624,1320
552,1620,1325
553,1627,1330
554,1635,1331
555,1634,1335
556,1634,1341
557,1630,1340
558,1634,1344
559,1629,1342
560,1635,1341
561,1630,1343
562,1628,1342
563,1632,1344
564,1638,1347
565,1638,1343
566,1632,1343
567,1640,1340
568,1643,1344
569,1643,1342
570,1647,1338
571,1650,1339
572,1648,1336
573,1645,1339
574,1641,1339
575,1642,1335
576,1636,1339
577,1634,1338
578,1639,1336
579,1636,1335
580,1644,1333
581,1640,1328
582,1641,1325
583,1644,1331
584,1639,1331
585,1637,1329
586,1633,1329
587,1629,1325
588,1626,1320
589,1629,1325
590,1633,1326
591,1633,1321
592,1639,1318
593,1646,1314
594,1644,1315
595,1643,1316
596,1651,1316
597,1655,1318
598,1655,1323
599,1663,1329
600,1665,1335
601,1664,1339
602,1672,1344
603,1673,1350
604,1679,1348
605,1684,1349
606,1680,1351
607,1686,1350
608,1684,1346
609,1682,1347
610,1686,1350
611,1693,1345
612,1701,1342
613,1706,1342
614,1712,1339
615,1712,1341
616,1715,1340
617,1712,1340
618,1708,1342
619,1712,1339
620,1709,1338
621,1709,1334
622,1716,1333
623,1723,1339
624,1722,1338
625,1729,1344
626,1728,1347
627,1726,1342
628,1733,1337
629,1737,1336
630,1732,1335
631,1739,1338
632,1734,1334
633,1733,1330
634,1736,1335
635,1734,1339
636,1728,1337
637,1723,1339
638,1730,1339
639,1731,1339
640,1739,1341
641,1745,1339
642,1750,1341
643,1751,1347
644,1746,1346
645,1754,1349
646,1751,1353
647,1748,1358
648,1747,1360
649,1754,1363
650,1751,1367
651,1754,1362
652,1752,1363
653,1750,1366
654,1754,1363
655,1755,1368
656,1755,1371
657,1755,1367
658,1752,1370
659,1754,1371
660,1759,1366
661,1760,1366
662,1758,1363
663,1752,1358
664,1760,1356
665,1754,1362
666,1753,1367
667,1752,1368
668,1749,1372
669,1752,1369
670,1760,1365
671,1768,1363
672,1763,1369
673,1770,1365
674,1772,1367
675,1766,1368
676,1771,1363
677,1768,1364
678,1771,1367
679,1779,1366
680,1781,1371
681,1782,1369
682,1783,1364
683,1790,1367
684,1789,1365
685,1786,1368
686,1787,1369
687,1795,1372
688,1796,1376
689,1803,1374
690,1801,1377
691,1798,1381
692,1802,1387
693,1808,1391
694,1811,1390
695,1817,1385
696,1815,1390
697,1817,1385
698,1815,1386
699,1813,1389
700,1811,1386
701,1812,1384
702,1806,1388
703,1802,1388
704,1804,1389
705,1810,1394
706,1815,1393
707,1814,1392
708,1819,1390
709,1816,1390
710,1810,1389
711,1813,1389
712,1807,1388
713,1811,1394
714,1808,1399
715,1804,1398
716,1808,1393
717,1808,1393
718,1811,1389
719,1818,1392
720,1821,1395
721,1815,1394
722,1822,1389
723,1817,1395
724,1812,1397
725,1807,1401
726,1803,1406
727,1804,1405
728,1810,1402
729,1814,1407
730,1810,1409
731,1808,1415
732,1808,1413
733,1811,1415
734,1816,1418
735,1819,1421
736,1816,1426
737,1820,1431
738,1822,1429
739,1822,1431
740,1823,1433
741,1829,1429
742,1833,1430
743,1838,1427
744,1839,1424
745,1842,1427
746,1844,1433
747,1849,1438
748,1845,1436
749,1846,1437
750,1842,1438
751,1841,1435
752,1838,1441
753,1832,1441
754,1826,1442
755,1834,1443
756,1840,1439
757,1846,1444
758,1847,1450
759,1847,1446
760,1851,1448
761,1848,1447
762,1854,1448
763,1854,1446
764,1848,1451
765,1855,1453
766,1858,1448
767,1852,1454
768,1848,1457
769,1851,1461
770,1850,1458
771,1857,1454
772,1860,1458
773,1861,1460
774,1858,1457
775,1854,1457
776,1859,1454
777,1853,1455
778,1857,1452
779,1851,1454
780,1854,1453
781,1858,1449
782,1860,1453
783,1866,1454
784,1869,1454
785,1865,1458
786,1870,1455
787,1878,1461
788,1876,1467
789,1884,1465
790,1878,1467
791,1880,1469
792,1885,1464
793,1893,1467
794,1893,1465
795,1894,1461
796,1895,1461
797,1900,1460
798,1896,1457
799,1891,1461
800,1888,1460
801,1888,1466
802,1891,1469
803,1886,1466
804,1881,1471
805,1877,1472
806,1884,1469
807,1890,1473
808,1893,1477
809,1891,1481
810,1891,1482
811,1885,1479
812,1884,1480
813,1883,1483
814,1880,1479
815,1877,1480
816,1873,1478
817,1869,1481
818,1871,1484
819,1879,1489
820,1883,1485
821,1890,1490
822,1893,1487
823,1899,1482
824,1897,1485
825,1899,1489
826,1898,1489
827,1902,1490
828,1908,1490
829,1907,1485
830,1912,1487
831,1909,1483
832,1908,1482
833,1913,1488
834,1911,1485
835,1915,1490
836,1915,1486
837,1921,1486
838,1915,1481
839,1916,1483
840,1924,1481
841,1918,1477
842,1919,1477
843,1921,1478
844,1924,1475
845,1922,1475
846,1917,1477
847,1919,1476
848,1921,1471
849,1928,1473
850,1932,1478
851,1932,1477
852,1927,1479
853,1926,1480
854,1933,1482
855,1932,1477
856,1928,1474
857,1933,1469
858,1928,1470
859,1923,1476
860,1925,1472
861,1921,1477
862,1926,1476
863,1920,1476
864,1927,1473
865,1935,1471
866,1937,1477
867,1938,1480
868,1935,1476
869,1937,1479
870,1945,1474
871,1952,1472
872,1959,1467
873,1959,1472
874,1957,1471
875,1959,1470
876,1962,1472
877,1961,1475
878,1969,1471
879,1963,1477
880,1960,1474
881,1959,1470
882,1953,1473
883,1961,1474
884,1968,1471
885,1976,1468
886,1978,1468
887,1984,1474
888,1989,1473
889,1987,1475
890,1990,1473
891,1990,1476
892,1989,1473
893,1986,1476
894,1983,1480
895,1982,1475
896,1989,1472
897,1995,1477
898,1992,1475
899,1994,1474
900,1993,1470
901,1990,1471
902,1987,1475
903,1991,1477
904,1986,1483
905,1980,1478
906,1978,1484
907,1976,1480
908,1980,1478
909,1986,1484
910,1984,1484
911,1991,1481
912,1985,1480
913,1987,1480
914,1993,1486
915,1987,1489
916,1983,1492
917,1984,1489
918,1988,1492
919,1996,1494
920,1997,1498
921,1995,1497
922,1993,1497
923,1992,1502
924,1996,1499
925,2001,1498
926,1997,1495
927,1995,1492
928,1992,1490
929,1991,1487
930,1990,1484
931,1987,1486
932,1990,1487
933,1985,1490
934,1991,1496
935,1998,1499
936,1998,1505
937,1994,1510
938,1990,1511
939,1996,1517
940,1994,1513
941,1988,1519
942,1984,1519
943,1986,1522
944,1988,1525
945,1993,1530
946,2000,1529
947,2006,1535
948,2008,1538
949,2003,1540
950,2005,1541
951,2001,1541
952,1999,1541
953,2004,1541
954,2009,1537
955,2005,1538
956,2002,1534
957,2004,1538
958,2003,1544
959,2007,1541
960,2009,1547
961,2004,1546
962,2011,1548
963,2017,1544
964,2013,1544
965,2009,1549
966,2013,1551
967,2018,1555
968,2019,1561
969,2016,1567
970,2022,1573
971,2025,1568
972,2019,1573
973,2016,1577
974,2014,1581
975,2021,1576
976,2020,1574
977,2027,1571
978,2031,1569
979,2026,1573
980,2034,1573
981,2030,1573
982,2024,1578
983,2031,1581
984,2034,1586
985,2041,1591
986,2043,1597
987,2050,1599
988,2047,1598
989,2049,1604
990,2045,1608
991,2042,1611
992,2047,1617
993,2043,1619
994,2048,1621
995,2045,1619
996,2042,1625
997,2044,1622
998,2049,1625
999,2052,1623
1000,2046,1620
1001,2046,1617
1002,2042,1612
1003,2047,1607
1004,2047,1610
1005,2044,1608
1006,2051,1606
1007,2052,1603
1008,2057,1608
1009,2063,1609
1010,2063,1606
1011,2063,1606
1012,2063,1604
1013,2057,1606
1014,2059,1602
1015,2053,1600
1016,2048,1599
1017,2051,1595
1018,2056,1591
1019,2056,1587
1020,2055,1587
1021,2052,1587
1022,2048,1585
1023,2052,1591
1024,2050,1597
1025,2052,1599
1026,2060,1602
1027,2063,1597
1028,2061,1593
1029,2065,1597
1030,2059,1600
1031,2054,1601
1032,2056,1601
1033,2054,1604
1034,2049,1609
1035,2053,1607
1036,2055,1606
1037,2057,1605
1038,2053,1600
1039,2057,1601
1040,2057,1605
1041,2059,1601
1042,2056,1598
1043,2055,1593
1044,2054,1596
1045,2062,1595
1046,2061,1595
1047,2059,1598
1048,2063,1593
1049,2061,1594
1050,2068,1597
1051,2064,1597
1052,2060,1600
1053,2060,1597
1054,2064,1602
1055,2067,1604
1056,2067,1601
1057,2067,1602
1058,2074,1608
1059,2078,1612
1060,2083,1617
1061,2090,1620
1062,2090,1620
1063,2089,1622
1064,2095,1628
1065,2097,1628
1066,2092,1625
1067,2099,1630
1068,2095,1635
1069,2093,1640
1070,2096,1637
1071,2094,1641
1072,2101,1637
1073,2095,1633
1074,2090,1634
1075,2096,1640
1076,2100,1645
1077,2103,1649
1078,2104,1654
1079,2107,1659
1080,2107,1660
1081,2104,1663
1082,2112,1658
1083,2118,1663
1084,2115,1659
1085,2120,1656
1086,2127,1652
1087,2126,1655
1088,2122,1650
1089,2120,1653
1090,2122,1659
1091,2130,1654
1092,2129,1655
1093,2127,1655
1094,2127,1653
1095,2133,1657
1096,2139,1655
1097,2138,1654
1098,2133,1653
1099,2139,1649
1100,2143,1645
1101,2149,1642
1102,2153,1643
1103,2151,1645
1104,2152,1651
1105,2153,1656
1106,2156,1657
1107,2159,1652
1108,2155,1655
1109,2153,1655
1110,2147,1651
1111,2153,1649
1112,2157,1648
1113,2156,1649
1114,2155,1653
1115,2155,1649
1116,2161,1655
1117,2164,1654
1118,2161,1649
1119,2158,1646
1120,2159,1648
1121,2153,1653
1122,2151,1659
1123,2149,1664
1124,2151,1669
1125,2151,1675
1126,2159,1679
1127,2166,1683
1128,2161,1684
1129,2161,1681
1130,2167,1686
1131,2163,1689
1132,2157,1684
1133,2156,1686
1134,2151,1686
1135,2150,1692
1136,2154,1689
1137,2156,1684
1138,2157,1686
1139,2161,1691
1140,2159,1690
1141,2156,1696
1142,2156,1697
1143,2150,1692
1144,2154,1688
1145,2155,1686
1146,2162,1691
1147,2159,1696
1148,2160,1696
1149,2168,1693
1150,2176,1698
1151,2182,1693
1152,2184,1692
1153,2180,1690
1154,2187,1688
1155,2189,1688
1156,2188,1691
1157,2193,1686
1158,2200,1687
1159,2194,1691
1160,2188,1694
1161,2192,1692
1162,2189,1688
1163,2195,1694
1164,2197,1690
1165,2202,1692
1166,2206,1690
1167,2206,1691
1168,2212,1686
1169,2217,1689
1170,2221,1694
1171,2228,1694
1172,2223,1695
1173,2219,1691
1174,2217,1691
1175,2213,1693
1176,2214,1695
1177,2213,1693
1178,2212,1695
1179,2212,1692
1180,2215,1691
1181,2211,1693
1182,2218,1689
1183,2224,1690
1184,2230,1690
1185,2232,1689
1186,2233,1685
1187,2240,1687
1188,2234,1684
1189,2232,1683
1190,2232,1685
1191,2238,1686
1192,2244,1691
1193,2244,1690
1194,2239,1687
1195,2240,1691
1196,2246,1697
1197,2241,1701
1198,2240,1702
1199,2241,1699
1200,2236,1699
1201,2239,1698
1202,2241,1702
1203,2243,1704
1204,2240,1706
1205,2237,1708
1206,2234,1711
1207,2232,1709
1208,2227,1713
1209,2233,1709
1210,2239,1704
1211,2236,1699
1212,2240,1697
1213,2235,1702
1214,2239,1704
1215,2242,1704
1216,2236,1703
1217,2237,1703
1218,2239,1708
1219,2245,1705
1220,2245,1710
1221,2252,1716
1222,2247,1713
1223,2250,1719
1224,2244,1721
1225,2240,1720
1226,2242,1722
1227,2240,1721
1228,2239,1724
1229,2236,1730
1230,2243,1736
1231,2245,1741
1232,2253,1742
1233,2247,1739
1234,2254,1739
1235,2255,1737
1236,2258,1734
1237,2266,1732
1238,2260,1733
1239,2262,1733
1240,2256,1734
1241,2256,1733
1242,2257,1730
1243,2261,1733
1244,2255,1729
1245,2252,1724
1246,2256,1728
1247,2251,1724
1248,2253,1724
1249,2256,1726
1250,2254,1730
1251,2261,1734
1252,2268,1739
1253,2271,1744
1254,2277,1740
1255,2284,1736
1256,2287,1742
1257,2290,1738
1258,2294,1737
1259,2294,1742
1260,2301,1740
1261,2299,1740
1262,2294,1735
1263,2299,1730
1264,2301,1733
1265,2302,1739
1266,2306,1740
1267,2305,1736
1268,2301,1731
1269,2303,1737
1270,2301,1739
1271,2298,1740
1272,2304,1746
1273,2298,1741
1274,2296,1738
1275,2303,1734
1276,2299,1735
1277,2296,1732
1278,2301,1735
1279,2297,1733
1280,2296,1728
1281,2292,1728
1282,2300,1724
1283,2299,1724
1284,2296,1719
1285,2291,1722
1286,2286,1724
1287,2287,1726
1288,2288,1727
1289,2283,1732
1290,2290,1733
1291,2294,1734
1292,2299,1730
1293,2298,1732
1294,2304,1729
1295,2309,1735
1296,2308,1732
1297,2315,1737
1298,2319,1734
1299,2318,1735
1300,2316,1730
1301,2311,1732
1302,2314,1731
1303,2310,1736
1304,2316,1739
1305,2320,1745
1306,2325,1741
1307,2329,1736
1308,2337,1731
1309,2343,1730
1310,2349,1733
1311,2353,1738
1312,2353,1736
1313,2361,1734
1314,2366,1734
1315,2369,1736
1316,2375,1734
1317,2377,1735
1318,2383,1735
1319,2385,1736
1320,2386,1732
1321,2381,1732
1322,2383,1737
1323,2389,1742
1324,2385,1741
1325,2381,1740
1326,2389,1738
1327,2388,1734
1328,2388,1737
1329,2384,1741
1330,2388,1747
1331,2383,1747
1332,2382,1753
1333,2386,1757
1334,2385,1760
1335,2392,1764
1336,2389,1761
1337,2387,1766
1338,2394,1770
1339,2394,1767
1340,2392,1763
1341,2397,1759
1342,2398,1755
1343,2402,1757
1344,2400,1761
1345,2400,1761
1346,2407,1762
1347,2415,1760
1348,2417,1764
1349,2425,1769
1350,2427,1774
1351,2435,1772
1352,2435,1767
1353,2434,1769
1354,2437,1775
1355,2436,1776
1356,2434,1771
1357,2438,1775
1358,2441,1770
1359,2442,1774
1360,2450,1770
1361,2450,1773
1362,2456,1769
1363,2452,1774
1364,2456,1779
1365,2461,1777
1366,2465,1783
1367,2466,1778
1368,2465,1776
1369,2472,1779
1370,2470,1782
1371,2474,1780
1372,2477,1781
1373,2483,1776
1374,2480,1773
1375,2479,1768
1376,2487,1774
1377,2486,1775
1378,2492,1779
1379,2488,1785
1380,2482,1789
1381,2480,1787
1382,2479,1790
1383,2487,1792
1384,2482,1789
1385,2490,1785
1386,2497,1790
1387,2504,1792
1388,2508,1794
1389,2503,1794
1390,2509,1793
1391,2504,1792
1392,2501,1789
1393,2501,1794
1394,2499,1800
1395,2493,1805
1396,2500,1806
1397,2499,1808
1398,2501,1809
1399,2504,1808
1400,2505,1809
1401,2501,1806
1402,2507,1802
1403,2507,1802
1404,2505,1804
1405,2507,1806
1406,2512,1811
1407,2507,1817
1408,2508,1823
1409,2507,1828
1410,2511,1831
1411,2509,1836
1412,2517,1839
1413,2511,1845
1414,2517,1851
1415,2511,1852
1416,2519,1855
1417,2527,1855
1418,2525,1850
1419,2531,1851
1420,2534,1857
1421,2534,1853
1422,2528,1855
1423,2533,1855
1424,2528,1858
1425,2525,1858
1426,2527,1860
1427,2524,1866
1428,2532,1863
1429,2528,1862
1430,2523,1857
1431,2527,1860
1432,2525,1864
1433,2527,1870
1434,2523,1869
1435,2518,1865
1436,2519,1867
1437,2514,1871
1438,2517,1869
1439,2520,1873
1440,2517,1871
1441,2520,1876
1442,2528,1872
1443,2527,1875
1444,2534,1876
1445,2534,1874
1446,2535,1879
1447,2536,1878
1448,2531,1873
1449,2538,1869
1450,2541,1866
1451,2547,1866
1452,2553,1872
1453,2560,1867
1454,2559,1866
1455,2566,1869
1456,2574,1866
1457,2579,1868
1458,2579,1874
1459,2574,1879
1460,2568,1881
1461,2574,1884
1462,2568,1884
1463,2575,1888
1464,2580,1884
1465,2588,1887
1466,2582,1887
1467,2576,1888
1468,2584,1887
1469,2581,1888
1470,2577,1890
1471,2585,1895
1472,2579,1892
1473,2580,1893
1474,2582,1892
1475,2578,1889
1476,2586,1891
1477,2594,1896
1478,2595,1899
1479,2596,1899
1480,2597,1895
1481,2605,1899
1482,2609,1902
1483,2606,1906
1484,2614,1907
1485,2608,1913
1486,2614,1912
1487,2616,1916
1488,2621,1919
1489,2621,1925
1490,2618,1920
1491,2623,1916
1492,2626,1922
1493,2630,1924
1494,2627,1924
1495,2626,1919
1496,2630,1916
1497,2630,1919
1498,2637,1922
1499,2632,1921
1500,2639,1923
1501,2645,1925
1502,2639,1929
1503,2634,1930
1504,2631,1936
1505,2629,1937
1506,2636,1939
1507,2630,1945
1508,2630,1940
1509,2628,1944
1510,2631,1947
1511,2633,1952
1512,2628,1955
1513,2634,1959
1514,2628,1956
1515,2632,1962
1516,2635,1965
1517,2631,1960
1518,2638,1963
1519,2637,1960
1520,2644,1964
1521,2647,1964
1522,2644,1967
1523,2645,1963
1524,2647,1961
1525,2652,1962
1526,2651,1961
1527,2651,1956
1528,2656,1958
1529,2664,1962
1530,2659,1967
1531,2659,1968
1532,2653,1970
1533,2661,1973
1534,2669,1976
1535,2665,1978
1536,2660,1983
1537,2658,1986
1538,2655,1990
1539,2663,1988
1540,2661,1991
1541,2660,1994
1542,2665,1989
1543,2660,1986
1544,2664,1988
1545,2666,1984
1546,2661,1984
1547,2667,1982
1548,2664,1981
1549,2671,1980
1550,2678,1979
1551,2679,1974
1552,2687,1970
1553,2686,1971
1554,2685,1970
1555,2685,1966
1556,2685,1964
1557,2688,1970
1558,2694,1968
1559,2689,1964
1560,2688,1967
1561,2687,1963
1562,2692,1965
1563,2692,1963
1564,2697,1966
1565,2692,1961
1566,2688,1967
1567,2691,1965
1568,2691,1967
1569,2686,1964
1570,2690,1960
1571,2689,1960
1572,2684,1962
1573,2690,1957
1574,2690,1952
1575,2691,1947
1576,2698,1945
1577,2700,1946
1578,2706,1942
1579,2702,1941
1580,2699,1936
1581,2701,1940
1582,2696,1938
1583,2696,1943
1584,2691,1945
1585,2690,1950
1586,2689,1956
1587,2697,1955
1588,2699,1961
1589,2696,1967
1590,2690,1962
1591,2694,1959
1592,2692,1957
1593,2697,1963
1594,2697,1965
1595,2695,1961
1596,2691,1961
1597,2698,1963
1598,2703,1962
1599,2711,1957
1600,2717,1958
1601,2724,1957
1602,2721,1956
1603,2715,1951
1604,2722,1946
1605,2724,1942
1606,2721,1940
1607,2723,1940
1608,2726,1944
1609,2732,1941
1610,2740,1941
1611,2745,1945
1612,2745,1949
1613,2748,1952
1614,2756,1953
1615,2753,1955
1616,2751,1958
1617,2752,1960
1618,2754,1963
1619,2749,1967
1620,2743,1971
1621,2744,1977
1622,2740,1976
1623,2747,1974
1624,2743,1975
1625,2739,1981
1626,2740,1987
1627,2747,1987
1628,2750,1982
1629,2754,1985
1630,2757,1988
1631,2761,1992
1632,2761,1992
1633,2762,1988
1634,2761,1983
1635,2757,1978
1636,2760,1976
1637,2755,1978
1638,2750,1976
1639,2752,1974
1640,2754,1972
1641,2762,1969
1642,2758,1965
1643,2756,1963
1644,2755,1965
1645,2763,1970
1646,2765,1968
1647,2762,1965
1648,2768,1965
1649,2770,1965
1650,2766,1965
1651,2767,1970
1652,2761,1976
1653,2761,1972
1654,2758,1972
1655,2766,1976
1656,2767,1977
1657,2766,1980
1658,2763,1977
1659,2763,1979
1660,2760,1976
1661,2757,1973
1662,2762,1979
1663,2763,1976
1664,2769,1979
